RespondentID,Department,Region,Tenure,Q1. I feel valued at work,Q2. My manager supports my growth,Q3. Workload is sustainable,Q4. I have the tools I need,Q5. I understand company strategy,Q6. I can be my authentic self,Q7. I would recommend us as a place to work,Q8. I see a path to grow here,What_is_working,What_to_improve
R0058,Finance,LATAM,5y+,5,5,5,5,5,3,3,3,I learn something new every week.,Compensation lags the market.
R0059,Sales,APAC,5y+,4,4,3,2,1,2,2,4,Leadership is transparent in town halls.,"Too many meetings, not enough focus time."
R0060,Sales,EMEA,1-3y,3,4,2,3,3,2,4,4,Managers actually listen.,Career paths are unclear.
R0061,Customer Success,NA,5y+,3,5,4,3,3,5,3,3,Strong onboarding buddy program.,Career paths are unclear.
R0062,Sales,APAC,5y+,3,3,3,3,2,3,4,2,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0063,Sales,APAC,1-3y,4,4,2,3,3,4,4,3,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0064,Customer Success,APAC,3-5y,5,4,5,5,5,4,5,5,Great teammates and a real mission.,Promotion process feels opaque.
R0065,Marketing,NA,5y+,5,3,3,3,3,3,4,4,Strong onboarding buddy program.,Promotion process feels opaque.
R0066,Engineering,LATAM,5y+,2,4,2,5,3,3,3,4,Managers actually listen.,Not enough headcount for the roadmap.
R0067,Engineering,EMEA,<1y,5,3,2,5,3,3,1,3,Strong onboarding buddy program.,Promotion process feels opaque.
R0068,Sales,NA,<1y,2,4,5,3,4,3,2,4,Interesting technical challenges.,Career paths are unclear.
R0069,Sales,NA,5y+,5,2,2,4,2,4,5,2,Flexible hours help a lot.,Promotion process feels opaque.
R0070,Customer Success,LATAM,<1y,5,5,3,5,3,3,4,3,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0071,Operations,APAC,3-5y,3,4,4,4,4,3,3,3,Strong onboarding buddy program.,Compensation lags the market.
R0072,Finance,LATAM,<1y,3,5,5,5,4,5,3,5,Interesting technical challenges.,"Too many meetings, not enough focus time."
R0073,Sales,APAC,3-5y,3,4,2,4,2,3,3,4,Flexible hours help a lot.,Promotion process feels opaque.
R0074,Finance,LATAM,<1y,5,2,2,3,3,4,4,4,I learn something new every week.,Cross-team handoffs are slow.
R0075,Product,LATAM,5y+,3,3,5,2,4,3,4,5,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0076,Operations,LATAM,<1y,3,4,3,3,2,2,3,4,Leadership is transparent in town halls.,On-call load is heavy this quarter.
R0077,People,LATAM,5y+,5,5,3,3,4,4,3,5,"Good customers, meaningful work.","Too many meetings, not enough focus time."
R0078,Customer Success,LATAM,5y+,5,5,3,4,2,4,5,3,Leadership is transparent in town halls.,Not enough headcount for the roadmap.
R0079,Sales,LATAM,1-3y,4,4,4,4,2,4,3,4,Leadership is transparent in town halls.,Tooling is fragmented.
R0080,People,APAC,<1y,5,5,3,4,3,3,5,2,Great teammates and a real mission.,Promotion process feels opaque.
R0081,Marketing,LATAM,5y+,2,3,4,4,5,3,2,4,Strong onboarding buddy program.,Career paths are unclear.
R0082,Customer Success,LATAM,<1y,3,3,4,5,4,3,3,4,"Good customers, meaningful work.",Career paths are unclear.
R0083,Finance,APAC,5y+,4,3,4,4,3,4,4,3,Interesting technical challenges.,"Too many meetings, not enough focus time."
R0084,Finance,EMEA,3-5y,3,4,3,3,5,5,4,3,I learn something new every week.,Promotion process feels opaque.
R0085,Finance,EMEA,5y+,4,5,4,4,4,3,3,3,Flexible hours help a lot.,On-call load is heavy this quarter.
R0086,Operations,LATAM,3-5y,4,3,4,5,3,4,3,1,Managers actually listen.,Career paths are unclear.
R0087,Finance,APAC,5y+,3,4,4,2,5,5,3,3,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0088,Engineering,NA,3-5y,3,2,2,5,4,4,4,3,Flexible hours help a lot.,Compensation lags the market.
R0089,Engineering,NA,1-3y,4,4,4,3,5,3,5,4,Flexible hours help a lot.,Cross-team handoffs are slow.
R0090,Engineering,APAC,1-3y,4,3,4,4,4,3,3,4,Strong onboarding buddy program.,Not enough headcount for the roadmap.
R0091,Sales,LATAM,<1y,2,2,2,3,4,5,3,5,Interesting technical challenges.,On-call load is heavy this quarter.
R0092,Operations,LATAM,3-5y,3,5,5,4,5,5,4,4,Managers actually listen.,Cross-team handoffs are slow.
R0093,Sales,EMEA,<1y,2,5,2,3,3,2,5,3,Managers actually listen.,On-call load is heavy this quarter.
R0094,Finance,APAC,3-5y,4,4,3,4,3,2,5,3,"Good customers, meaningful work.",Tooling is fragmented.
R0095,Operations,APAC,5y+,5,4,4,4,3,4,4,2,Flexible hours help a lot.,Cross-team handoffs are slow.
R0096,Operations,APAC,3-5y,4,3,4,4,5,4,5,4,Managers actually listen.,Career paths are unclear.
R0097,Product,NA,1-3y,3,4,5,5,4,2,3,2,Interesting technical challenges.,"Too many meetings, not enough focus time."
R0098,Customer Success,NA,1-3y,4,4,4,4,5,5,3,5,I learn something new every week.,"Too many meetings, not enough focus time."
R0099,Finance,EMEA,<1y,3,4,2,5,5,5,3,3,I learn something new every week.,On-call load is heavy this quarter.
R0100,Finance,NA,1-3y,4,3,4,5,3,3,4,3,Strong onboarding buddy program.,"Too many meetings, not enough focus time."
R0101,Product,LATAM,<1y,3,3,5,3,4,3,4,3,"Good customers, meaningful work.",Cross-team handoffs are slow.
R0102,People,NA,1-3y,4,4,4,5,5,4,4,3,Interesting technical challenges.,Promotion process feels opaque.
R0103,Finance,EMEA,1-3y,3,4,3,5,3,2,3,4,I learn something new every week.,Not enough headcount for the roadmap.
R0104,Product,NA,<1y,3,2,5,3,3,3,4,4,"Good customers, meaningful work.",Career paths are unclear.
R0105,Product,LATAM,3-5y,3,2,4,3,3,3,4,3,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0106,Product,NA,5y+,4,3,4,3,2,4,4,3,Managers actually listen.,Cross-team handoffs are slow.
R0107,Sales,LATAM,5y+,3,5,3,3,4,2,4,2,Interesting technical challenges.,Not enough headcount for the roadmap.
R0108,Customer Success,LATAM,<1y,5,3,5,4,5,4,3,3,Great teammates and a real mission.,Promotion process feels opaque.
R0109,Operations,LATAM,3-5y,3,3,5,5,4,3,1,5,Great teammates and a real mission.,Career paths are unclear.
R0110,Operations,APAC,5y+,2,3,3,4,3,3,4,4,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0111,Finance,LATAM,3-5y,5,3,4,4,3,2,3,4,"Good customers, meaningful work.",Tooling is fragmented.
R0112,Customer Success,APAC,5y+,4,3,3,5,4,5,3,3,Leadership is transparent in town halls.,Tooling is fragmented.
R0113,People,LATAM,<1y,3,4,4,5,4,3,4,4,Leadership is transparent in town halls.,Tooling is fragmented.
R0114,Engineering,NA,5y+,4,3,3,2,3,4,3,3,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0115,Operations,LATAM,1-3y,4,2,2,4,3,5,4,5,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0116,Product,EMEA,3-5y,3,4,4,3,4,3,5,4,Strong onboarding buddy program.,Promotion process feels opaque.
R0117,Finance,NA,5y+,5,4,5,3,3,4,4,3,"Good customers, meaningful work.",On-call load is heavy this quarter.
R0118,People,EMEA,3-5y,5,3,5,3,4,3,4,5,Strong onboarding buddy program.,Promotion process feels opaque.
R0119,Finance,NA,<1y,3,4,4,3,5,3,4,3,Interesting technical challenges.,Cross-team handoffs are slow.
R0120,People,LATAM,1-3y,3,4,5,4,5,4,4,4,Great teammates and a real mission.,Tooling is fragmented.
R0121,Finance,APAC,3-5y,3,5,4,4,2,3,4,5,Great teammates and a real mission.,Compensation lags the market.
R0122,Product,APAC,1-3y,3,4,4,4,3,4,4,3,Flexible hours help a lot.,Promotion process feels opaque.
R0123,People,APAC,<1y,2,4,3,4,4,5,5,4,Great teammates and a real mission.,Compensation lags the market.
R0124,Product,APAC,5y+,5,3,3,4,4,4,3,3,Flexible hours help a lot.,Tooling is fragmented.
R0125,Finance,APAC,<1y,3,4,3,3,3,3,4,5,"Good customers, meaningful work.",On-call load is heavy this quarter.
R0126,Marketing,EMEA,<1y,2,4,3,4,3,2,4,5,Leadership is transparent in town halls.,Career paths are unclear.
R0127,Customer Success,APAC,3-5y,3,4,2,5,5,4,2,5,Interesting technical challenges.,Not enough headcount for the roadmap.
R0128,People,LATAM,<1y,5,3,4,4,4,5,4,5,Flexible hours help a lot.,Cross-team handoffs are slow.
R0129,Finance,APAC,3-5y,4,3,3,3,3,5,5,5,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0130,Customer Success,EMEA,3-5y,5,5,3,4,4,3,5,5,Interesting technical challenges.,Not enough headcount for the roadmap.
R0131,Engineering,LATAM,1-3y,2,4,2,5,4,3,4,4,Interesting technical challenges.,Compensation lags the market.
R0132,Product,NA,1-3y,4,3,3,2,5,4,4,5,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0133,People,APAC,1-3y,3,4,3,5,3,5,5,4,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0134,Product,APAC,<1y,3,2,3,2,5,3,3,3,Leadership is transparent in town halls.,Cross-team handoffs are slow.
R0135,Sales,APAC,5y+,3,2,3,4,4,3,3,3,Leadership is transparent in town halls.,Cross-team handoffs are slow.
R0136,Product,LATAM,5y+,4,4,3,5,2,3,3,4,Managers actually listen.,Compensation lags the market.
R0137,People,EMEA,5y+,4,4,4,3,4,3,3,5,"Good customers, meaningful work.",Promotion process feels opaque.
R0138,Operations,NA,<1y,3,4,3,5,3,5,4,3,Leadership is transparent in town halls.,Tooling is fragmented.
R0139,Operations,APAC,<1y,3,1,5,2,4,2,5,3,I learn something new every week.,Compensation lags the market.
R0140,Engineering,LATAM,1-3y,3,4,3,4,1,2,3,4,Strong onboarding buddy program.,Compensation lags the market.
R0141,Engineering,LATAM,3-5y,4,3,2,3,4,5,3,3,"Good customers, meaningful work.",Promotion process feels opaque.
R0142,People,LATAM,5y+,3,4,5,3,5,4,2,4,Flexible hours help a lot.,Not enough headcount for the roadmap.
R0143,Finance,EMEA,3-5y,4,4,5,3,5,5,4,2,Leadership is transparent in town halls.,Promotion process feels opaque.
R0144,Customer Success,APAC,<1y,3,4,5,4,5,4,4,4,Great teammates and a real mission.,Career paths are unclear.
R0145,Sales,APAC,1-3y,3,2,4,3,4,4,3,3,Great teammates and a real mission.,Promotion process feels opaque.
R0146,Finance,APAC,5y+,2,5,5,4,5,4,4,4,Leadership is transparent in town halls.,Career paths are unclear.
R0147,People,APAC,<1y,5,4,3,4,5,3,4,5,Flexible hours help a lot.,Career paths are unclear.
R0148,People,EMEA,5y+,5,5,3,4,5,5,4,5,Interesting technical challenges.,Cross-team handoffs are slow.
R0149,Finance,LATAM,<1y,4,4,3,5,4,4,5,4,Leadership is transparent in town halls.,Cross-team handoffs are slow.
R0150,Marketing,LATAM,5y+,4,4,3,3,4,5,3,4,Leadership is transparent in town halls.,On-call load is heavy this quarter.
R0151,Engineering,APAC,5y+,4,5,4,4,3,3,3,4,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0152,Operations,LATAM,5y+,3,2,4,4,2,3,4,4,Leadership is transparent in town halls.,"Too many meetings, not enough focus time."
R0153,People,LATAM,1-3y,4,3,3,5,3,3,4,4,I learn something new every week.,"Too many meetings, not enough focus time."
R0154,Product,APAC,<1y,3,3,3,3,3,3,2,3,Managers actually listen.,Not enough headcount for the roadmap.
R0155,Customer Success,APAC,1-3y,5,3,2,4,5,3,3,5,Leadership is transparent in town halls.,Cross-team handoffs are slow.
R0156,Operations,LATAM,1-3y,4,4,4,3,3,4,1,2,Managers actually listen.,Not enough headcount for the roadmap.
R0157,Finance,APAC,1-3y,2,3,3,4,3,3,4,3,I learn something new every week.,Cross-team handoffs are slow.
R0158,Operations,APAC,5y+,4,3,3,2,3,1,3,3,Strong onboarding buddy program.,"Too many meetings, not enough focus time."
R0159,People,EMEA,<1y,4,2,5,4,4,4,5,3,I learn something new every week.,Not enough headcount for the roadmap.
R0160,People,NA,3-5y,4,4,5,3,3,5,5,5,Flexible hours help a lot.,Cross-team handoffs are slow.
R0161,Finance,APAC,<1y,4,5,3,3,3,2,3,3,I learn something new every week.,Not enough headcount for the roadmap.
R0162,Marketing,EMEA,1-3y,5,3,4,3,5,3,4,3,I learn something new every week.,Promotion process feels opaque.
R0163,Engineering,NA,3-5y,3,3,4,3,3,3,3,4,Interesting technical challenges.,Tooling is fragmented.
R0164,Marketing,APAC,5y+,4,5,3,4,3,3,4,4,Interesting technical challenges.,On-call load is heavy this quarter.
R0165,Finance,APAC,3-5y,3,3,4,4,3,4,2,5,"Good customers, meaningful work.",Career paths are unclear.
R0166,Marketing,APAC,<1y,3,3,2,3,3,5,3,4,Strong onboarding buddy program.,"Too many meetings, not enough focus time."
R0167,Finance,APAC,3-5y,4,3,4,3,3,5,5,3,I learn something new every week.,"Too many meetings, not enough focus time."
R0168,People,EMEA,1-3y,2,4,3,3,5,3,4,2,Interesting technical challenges.,Cross-team handoffs are slow.
R0169,People,EMEA,<1y,5,4,3,4,3,4,4,4,Great teammates and a real mission.,Cross-team handoffs are slow.
R0170,Customer Success,NA,<1y,3,3,3,3,4,4,3,3,"Good customers, meaningful work.",Compensation lags the market.
R0171,Operations,EMEA,<1y,4,3,3,5,3,2,2,3,Managers actually listen.,Promotion process feels opaque.
R0172,People,NA,1-3y,5,4,4,4,4,5,5,4,Flexible hours help a lot.,Promotion process feels opaque.
R0173,Marketing,APAC,3-5y,4,3,2,4,4,5,5,4,Flexible hours help a lot.,Tooling is fragmented.
R0174,Customer Success,EMEA,3-5y,4,4,4,4,4,3,3,3,Strong onboarding buddy program.,Career paths are unclear.
R0175,Engineering,LATAM,3-5y,4,4,3,3,2,3,5,4,Interesting technical challenges.,Career paths are unclear.
R0176,People,NA,3-5y,3,4,5,3,5,4,3,5,Flexible hours help a lot.,"Too many meetings, not enough focus time."
R0177,Engineering,LATAM,3-5y,4,5,3,5,2,4,5,1,Flexible hours help a lot.,Compensation lags the market.
R0178,People,NA,<1y,4,4,4,4,3,3,5,4,I learn something new every week.,"Too many meetings, not enough focus time."
R0179,Sales,NA,1-3y,5,3,3,3,3,4,4,4,Strong onboarding buddy program.,Career paths are unclear.
R0180,Finance,NA,3-5y,4,5,3,2,3,5,2,1,"Good customers, meaningful work.",Cross-team handoffs are slow.
R0181,Engineering,APAC,<1y,4,3,4,3,4,3,4,4,Strong onboarding buddy program.,Tooling is fragmented.
R0182,People,APAC,3-5y,5,4,4,3,4,3,2,4,Leadership is transparent in town halls.,Compensation lags the market.
R0183,Product,NA,1-3y,3,4,4,3,3,3,4,3,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0184,Customer Success,NA,5y+,3,3,4,4,4,5,3,3,Flexible hours help a lot.,Career paths are unclear.
R0185,Finance,EMEA,1-3y,5,5,2,3,4,5,4,4,Flexible hours help a lot.,Compensation lags the market.
R0186,People,EMEA,3-5y,3,4,4,4,5,3,3,4,Great teammates and a real mission.,Cross-team handoffs are slow.
R0187,Marketing,APAC,3-5y,3,3,4,3,4,3,4,5,Managers actually listen.,Cross-team handoffs are slow.
R0188,Engineering,EMEA,5y+,3,3,3,4,3,4,3,3,Managers actually listen.,On-call load is heavy this quarter.
R0189,Finance,APAC,<1y,3,4,4,1,5,3,3,4,I learn something new every week.,Career paths are unclear.
R0190,Engineering,NA,3-5y,5,3,5,4,4,4,3,3,I learn something new every week.,Tooling is fragmented.
R0191,Finance,EMEA,1-3y,4,4,4,3,3,5,2,4,"Good customers, meaningful work.",Promotion process feels opaque.
R0192,Marketing,NA,3-5y,3,5,4,4,3,3,3,4,Interesting technical challenges.,Cross-team handoffs are slow.
R0193,Product,EMEA,3-5y,4,2,3,4,3,3,2,4,"Good customers, meaningful work.",Not enough headcount for the roadmap.
R0194,Customer Success,LATAM,5y+,5,4,4,4,4,3,3,3,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0195,Sales,APAC,<1y,3,4,3,3,2,3,4,3,Managers actually listen.,Not enough headcount for the roadmap.
R0196,Engineering,APAC,3-5y,5,3,3,4,2,3,4,4,Great teammates and a real mission.,On-call load is heavy this quarter.
R0197,Marketing,EMEA,3-5y,4,3,4,4,4,4,3,3,Great teammates and a real mission.,Cross-team handoffs are slow.
R0198,Finance,APAC,1-3y,4,3,3,4,2,3,4,3,Great teammates and a real mission.,Cross-team handoffs are slow.
R0199,Marketing,NA,5y+,3,2,4,4,4,3,3,2,Managers actually listen.,Promotion process feels opaque.
R0200,Product,EMEA,5y+,2,2,4,3,4,3,4,5,Strong onboarding buddy program.,Not enough headcount for the roadmap.
R0201,Operations,LATAM,5y+,5,4,4,4,5,3,2,3,Strong onboarding buddy program.,Promotion process feels opaque.
R0202,Operations,NA,5y+,2,4,4,3,4,4,3,3,Great teammates and a real mission.,Tooling is fragmented.
R0203,Sales,APAC,5y+,3,4,5,5,5,3,2,4,Interesting technical challenges.,Not enough headcount for the roadmap.
R0204,Finance,EMEA,5y+,5,4,1,4,3,3,5,2,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0205,Operations,EMEA,5y+,4,4,5,2,2,2,4,3,Interesting technical challenges.,Compensation lags the market.
R0206,Customer Success,LATAM,3-5y,4,5,4,4,5,4,3,3,Managers actually listen.,Cross-team handoffs are slow.
R0207,Finance,LATAM,1-3y,4,5,5,5,4,4,5,3,Leadership is transparent in town halls.,Cross-team handoffs are slow.
R0208,Operations,EMEA,5y+,4,3,4,4,4,4,4,2,I learn something new every week.,Tooling is fragmented.
R0209,Operations,APAC,<1y,4,4,3,5,4,4,3,2,Managers actually listen.,"Too many meetings, not enough focus time."
R0210,Sales,NA,1-3y,3,4,4,2,4,3,4,3,Strong onboarding buddy program.,Promotion process feels opaque.
R0211,Engineering,EMEA,5y+,4,4,3,4,3,5,5,4,Great teammates and a real mission.,"Too many meetings, not enough focus time."
R0212,Operations,APAC,<1y,3,4,4,3,5,2,4,3,Strong onboarding buddy program.,On-call load is heavy this quarter.
R0213,People,EMEA,3-5y,3,2,3,5,5,4,4,5,Flexible hours help a lot.,"Too many meetings, not enough focus time."
R0214,People,NA,1-3y,5,4,2,4,4,4,3,4,Interesting technical challenges.,Career paths are unclear.
R0215,Operations,APAC,5y+,3,5,3,2,3,4,3,3,Flexible hours help a lot.,Compensation lags the market.
R0216,Operations,NA,5y+,5,4,4,3,5,4,4,3,Flexible hours help a lot.,Tooling is fragmented.
R0217,Marketing,APAC,3-5y,4,4,3,4,4,5,3,4,Flexible hours help a lot.,Promotion process feels opaque.
R0218,Sales,APAC,3-5y,5,3,4,4,4,4,3,3,Flexible hours help a lot.,Promotion process feels opaque.
R0219,Finance,LATAM,5y+,3,4,5,5,2,4,5,4,Great teammates and a real mission.,Promotion process feels opaque.
R0220,Operations,LATAM,<1y,4,2,4,5,4,5,4,3,Interesting technical challenges.,Promotion process feels opaque.
R0221,Product,APAC,1-3y,4,4,5,5,4,4,2,3,Interesting technical challenges.,Compensation lags the market.
R0222,Sales,NA,<1y,2,3,2,3,4,2,3,3,Flexible hours help a lot.,Promotion process feels opaque.
R0223,Finance,NA,3-5y,3,3,4,4,3,3,4,4,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0224,Marketing,LATAM,3-5y,5,4,3,4,4,4,4,4,Interesting technical challenges.,"Too many meetings, not enough focus time."
R0225,Marketing,NA,3-5y,4,5,5,4,3,3,2,3,Great teammates and a real mission.,Career paths are unclear.
R0226,Sales,EMEA,1-3y,5,2,4,3,2,1,4,3,Leadership is transparent in town halls.,"Too many meetings, not enough focus time."
R0227,Engineering,EMEA,5y+,4,3,5,4,5,3,3,4,Flexible hours help a lot.,Career paths are unclear.
R0228,People,EMEA,1-3y,3,4,5,5,2,4,3,5,"Good customers, meaningful work.","Too many meetings, not enough focus time."
R0229,Operations,NA,1-3y,3,1,4,4,4,4,3,4,Great teammates and a real mission.,Not enough headcount for the roadmap.
R0230,Marketing,APAC,<1y,5,3,3,4,4,3,4,4,Strong onboarding buddy program.,Compensation lags the market.
R0231,Sales,EMEA,5y+,3,3,3,2,4,3,2,4,Managers actually listen.,Career paths are unclear.
R0232,Operations,EMEA,3-5y,3,4,2,2,5,3,4,5,Interesting technical challenges.,Tooling is fragmented.
R0233,Operations,LATAM,3-5y,3,2,4,3,3,3,5,3,"Good customers, meaningful work.",Compensation lags the market.
R0234,Engineering,LATAM,5y+,1,4,4,4,3,3,5,4,Strong onboarding buddy program.,Cross-team handoffs are slow.
R0235,Marketing,EMEA,5y+,3,3,4,4,4,3,4,4,Leadership is transparent in town halls.,Cross-team handoffs are slow.
R0236,Customer Success,APAC,3-5y,4,3,4,4,5,5,3,3,Strong onboarding buddy program.,Not enough headcount for the roadmap.
R0237,Product,EMEA,<1y,3,2,4,3,5,5,4,1,I learn something new every week.,Career paths are unclear.
R0238,Sales,NA,5y+,4,3,4,5,3,5,5,3,I learn something new every week.,Cross-team handoffs are slow.
R0239,People,EMEA,5y+,5,5,5,4,4,3,4,3,Managers actually listen.,Promotion process feels opaque.
